epoch total_loss physics_loss bc_u_loss bc_yy_loss interface_value_loss interface_dx_loss interface_dy_loss
30 5.91269541e+00 4.33320427e+00 1.17306292e+00 4.06428546e-01 1.89795449e-01 3.47709626e-01 1.40339091e-01
31 5.87012243e+00 4.34114313e+00 1.13427210e+00 3.94707143e-01 1.86941803e-01 3.54156494e-01 1.43858045e-01
32 5.81904602e+00 4.25120783e+00 1.16516817e+00 4.02669817e-01 1.97308749e-01 3.55357051e-01 1.41170368e-01
33 5.77537012e+00 4.22326946e+00 1.15178478e+00 4.00315940e-01 1.85735613e-01 3.46222579e-01 1.42773911e-01
34 5.81667662e+00 4.32809019e+00 1.11677659e+00 3.71810108e-01 1.94002673e-01 3.46503943e-01 1.41880885e-01
35 5.72977495e+00 4.25630522e+00 1.12142599e+00 3.52043539e-01 1.89495862e-01 3.47850353e-01 1.45258874e-01
36 5.84321308e+00 4.31185961e+00 1.14019740e+00 3.91156107e-01 1.96835876e-01 3.51303309e-01 1.44236386e-01
37 5.60363436e+00 4.13070536e+00 1.09677565e+00 3.76153558e-01 1.96214184e-01 3.40365738e-01 1.42272189e-01
38 5.63096762e+00 4.17590761e+00 1.07470632e+00 3.80353659e-01 1.98734373e-01 3.47428381e-01 1.44503936e-01
39 5.53820848e+00 4.08004570e+00 1.08019149e+00 3.77971113e-01 2.02737287e-01 3.46509814e-01 1.45667270e-01
40 5.54225683e+00 4.09330130e+00 1.07136869e+00 3.77586633e-01 2.01864034e-01 3.53786737e-01 1.49196476e-01
41 5.46561193e+00 4.00118637e+00 1.08485246e+00 3.79573256e-01 2.11351529e-01 3.57199520e-01 1.47692516e-01
42 5.35543060e+00 3.94565439e+00 1.02529478e+00 3.84481549e-01 2.12847829e-01 3.41089070e-01 1.45839646e-01
43 5.41396523e+00 3.97220826e+00 1.06689680e+00 3.74860495e-01 2.11472884e-01 3.44245404e-01 1.48964182e-01
44 5.30343151e+00 3.91102910e+00 1.03141308e+00 3.60989749e-01 2.15510517e-01 3.46104622e-01 1.48869246e-01
45 5.30301619e+00 3.88184643e+00 1.05844760e+00 3.62722009e-01 2.24217623e-01 3.57781172e-01 1.51957944e-01
46 5.24968433e+00 3.86191845e+00 1.03480077e+00 3.52965355e-01 2.27151603e-01 3.61193329e-01 1.52333781e-01
47 5.23983574e+00 3.83075714e+00 1.01450479e+00 3.94573659e-01 2.16618329e-01 3.56679857e-01 1.56094432e-01
48 5.11406898e+00 3.70112443e+00 1.02928567e+00 3.83659035e-01 2.23472252e-01 3.52907538e-01 1.55642644e-01
