epoch total_loss interior_loss down_yy_loss up_yy_loss down_loss up_loss left_loss right_loss
108 4.88206953e-01 1.21583231e-01 2.10769907e-01 1.57244522e-02 4.88230251e-02 9.51958355e-03 4.50507476e-04 8.13362300e-02
109 5.07634699e-01 1.19809091e-01 2.37518594e-01 1.62466522e-02 4.76463735e-02 9.84135456e-03 4.14056791e-04 7.61585757e-02
110 4.72493351e-01 1.11927547e-01 2.18915418e-01 1.51159214e-02 4.43394482e-02 9.96548310e-03 3.87411739e-04 7.18421489e-02
111 4.74213541e-01 1.20940574e-01 2.06564248e-01 1.57035459e-02 4.73744012e-02 9.61027946e-03 3.70094378e-04 7.36504346e-02
112 4.87503886e-01 1.14197001e-01 2.28813022e-01 1.56314336e-02 4.51813377e-02 9.57102049e-03 3.72748298e-04 7.37373680e-02
113 4.92912710e-01 1.13842152e-01 2.37826854e-01 1.48669863e-02 4.28887457e-02 1.02779949e-02 3.48755071e-04 7.28612691e-02
114 4.78427887e-01 1.08719990e-01 2.31101483e-01 1.47158587e-02 3.98070849e-02 1.00101922e-02 3.59869824e-04 7.37134665e-02
115 4.63774145e-01 1.03845648e-01 2.26724073e-01 1.52685288e-02 3.98883931e-02 1.01223327e-02 3.50404385e-04 6.75747842e-02
116 4.82291162e-01 1.02109902e-01 2.42906868e-01 1.53890327e-02 4.46978621e-02 9.83639993e-03 3.32214491e-04 6.70188963e-02
117 4.53855872e-01 9.53302383e-02 2.24182352e-01 1.64239556e-02 4.05115262e-02 9.90743190e-03 3.02645407e-04 6.71977401e-02
118 4.68856096e-01 9.74644348e-02 2.35900551e-01 1.44407889e-02 4.34524305e-02 1.02096731e-02 3.35936871e-04 6.70522898e-02
119 4.61662591e-01 9.61210281e-02 2.33222425e-01 1.58063583e-02 3.95367667e-02 1.03895785e-02 3.20634252e-04 6.62658289e-02
120 4.32382703e-01 9.13520530e-02 2.09043711e-01 1.52905853e-02 4.36236374e-02 1.01611549e-02 3.32294527e-04 6.25792891e-02
121 4.47173119e-01 9.24516544e-02 2.28994519e-01 1.58092901e-02 3.89339551e-02 1.01068951e-02 3.37464735e-04 6.05393387e-02
122 4.44565713e-01 9.22712162e-02 2.22829804e-01 1.47769041e-02 4.03202809e-02 1.07818684e-02 3.37069650e-04 6.32485896e-02
123 4.37262386e-01 9.40795764e-02 2.19011754e-01 1.54600646e-02 3.37275825e-02 1.05880033e-02 3.43392079e-04 6.40520230e-02
124 4.34987575e-01 9.92639214e-02 2.12339967e-01 1.54363923e-02 3.61298174e-02 1.03836600e-02 3.64486827e-04 6.10693358e-02
125 4.31898326e-01 8.39392468e-02 2.27467015e-01 1.47693017e-02 3.67905833e-02 1.03033874e-02 3.88475135e-04 5.82403280e-02
126 4.17251527e-01 9.22152475e-02 1.99478015e-01 1.54133970e-02 3.75101641e-02 1.04122777e-02 3.88362416e-04 6.18340559e-02
127 4.21464503e-01 8.02907199e-02 2.17415974e-01 1.55013893e-02 3.37012485e-02 1.03930375e-02 4.33846086e-04 6.37283251e-02
